musicien_id,musicien_nom,musicien_prenom,musicien_date_naissance,musicien_telephone,musicien_adresse,musicien_mail
1,Gene,Ousby,9/28/1985,372-106-3084,1933 Meadow Vale Lane,gousby0@google.cn
2,Jeri,Powter,9/15/1986,348-820-0937,4913 Stone Corner Way,jpowter1@yale.edu
3,Alfi,Burnett,1/19/1958,385-429-9512,00768 Coleman Alley,aburnett2@cloudflare.com
4,Torey,Langshaw,1/20/1994,292-394-5745,2 Garrison Parkway,tlangshaw3@360.cn
5,Danya,Lincey,9/29/1963,252-974-3638,6405 Eggendart Crossing,dlincey4@theatlantic.com
6,Beau,Robker,9/20/2001,312-598-3231,0 Blackbird Circle,brobker5@state.gov
7,Anni,Gerling,11/21/1963,559-424-2310,913 Hanover Alley,agerling6@nytimes.com
8,Woodrow,Blackborow,1/30/1992,652-484-0902,163 Schurz Drive,wblackborow7@bandcamp.com
9,Cissiee,Docket,6/26/1967,986-567-6802,8 Fulton Court,cdocket8@oracle.com
10,Khalil,Gregori,3/12/1964,177-765-2960,676 Pine View Park,kgregori9@360.cn
11,Perceval,Passie,6/29/1950,906-400-3558,4268 Delaware Avenue,ppassiea@bloomberg.com
12,Wilbert,Swinbourne,12/22/2001,143-493-0978,3158 Toban Junction,wswinbourneb@moonfruit.com
13,Gonzalo,Poytheras,6/23/1975,680-994-7611,34 Miller Circle,gpoytherasc@themeforest.net
14,Mab,Repp,5/15/2001,243-547-0457,96167 Birchwood Lane,mreppd@weibo.com
15,Martin,Oxley,4/3/1964,551-272-3110,6979 Dennis Place,moxleye@tinyurl.com
16,Waldemar,Pinnion,9/13/1955,565-840-1019,45 7th Way,wpinnionf@tamu.edu
17,Cicily,Haton,9/6/1996,312-907-5874,69152 Maywood Street,chatong@engadget.com
18,Jed,Valentinuzzi,8/10/1974,219-840-2736,500 Homewood Way,jvalentinuzzih@hibu.com
19,Alva,Delafoy,8/2/1972,415-392-4941,61 Westridge Terrace,adelafoyi@desdev.cn
20,Micah,Grigoryov,8/28/1975,255-493-1071,5657 Portage Alley,mgrigoryovj@creativecommons.org
21,Ferrel,Beales,9/13/1963,384-508-3186,43 Sachs Terrace,fbealesk@google.ca
